article_id,year,corpus,article_type
1105214,2015,news,news
1105297,2015,opinions,column
1105122,2015,news,news
1105307,2015,news,news
1105449,2015,opinions,column
1105423,2015,opinions,op-ed
1105451,2015,news,news
1105454,2015,news,news
1105462,2015,news,news
1105481,2015,news,news
1105459,2015,news,news
1105523,2015,news,news
1105537,2015,news,news
1105536,2015,news,news
1105529,2015,news,other
1105538,2015,opinions,column
1105542,2015,opinions,column
1105525,2015,news,news
1105630,2015,opinions,op-ed
1105646,2015,news,news
1105641,2015,news,news
1105642,2015,news,news
1105633,2015,opinions,column
1105653,2015,news,news
1105638,2015,news,news
1105636,2015,opinions,column
1105629,2015,opinions,column
1105736,2015,opinions,column
1105718,2015,opinions,op-ed
1105726,2015,opinions,op-ed
1105713,2015,opinions,column
1105679,2015,news,news
1105717,2015,news,news
1105703,2015,news,news
1105725,2015,news,news
1105740,2015,news,news
1105749,2015,news,news
1105739,2015,news,news
1105754,2015,news,news
1105821,2015,news,news
1105799,2015,opinions,op-ed
1105803,2015,opinions,column
1105795,2015,opinions,column
1105797,2015,opinions,column
1105792,2015,news,news
1105798,2015,opinions,column
1105825,2015,news,news
1105810,2015,news,news
1105852,2015,news,news
1105871,2015,news,news
1105874,2015,opinions,column
1105876,2015,opinions,column
1105875,2015,opinions,op-ed
1105877,2015,news,news
1105831,2015,news,news
1105908,2015,news,news
1105882,2015,news,news
1105912,2015,news,news
1105921,2015,news,news
1105909,2015,news,news
1105893,2015,news,news
1105959,2015,opinions,column
1105958,2015,opinions,column
1105960,2015,news,news
1105957,2015,opinions,column
1105935,2015,news,news
1105979,2015,news,news
1105961,2015,news,news
1106041,2015,news,news
1106028,2015,news,news
1105982,2015,news,news
1105995,2015,news,news
1105547,2015,news,news
1106060,2015,news,news
1106076,2015,opinions,column
1106065,2015,opinions,column
1106079,2015,opinions,op-ed
1106077,2015,opinions,column
1106153,2015,opinions,column
1106176,2015,opinions,column
1106173,2015,opinions,column
1106200,2015,news,news
1106179,2015,news,news
1106170,2015,news,news
1106087,2015,news,news
1106126,2015,news,news
1106107,2015,news,news
1106099,2015,news,news
1106100,2015,news,news
1106184,2015,news,news
1106224,2015,news,news
1106241,2015,opinions,column
1106239,2015,opinions,column
1106240,2015,opinions,op-ed
1106373,2015,opinions,column
1106340,2015,opinions,column
1106371,2015,opinions,column
1106378,2015,opinions,opinion
1106308,2015,news,news
1106307,2015,news,news
1106258,2015,news,news
1106262,2015,news,news
1106247,2015,news,news
1106260,2015,news,news
1106350,2015,news,news
1106298,2015,news,news
1106387,2015,news,news
1106333,2015,news,news
1106365,2015,news,news
1106379,2015,news,news
1106344,2015,news,news
1106433,2015,opinions,column
1106432,2015,opinions,column
1106498,2015,news,news
1106466,2015,news,news
1106457,2015,news,news
1106450,2015,news,news
1106460,2015,news,news
1106561,2015,opinions,column
1106566,2015,opinions,column
1106540,2015,opinions,column
1106539,2015,opinions,column
1106476,2015,news,news
1106550,2015,news,news
1106569,2015,news,news
1106568,2015,news,news
1106538,2015,opinions,column
1106659,2015,opinions,column
1106630,2015,news,news
1106647,2015,opinions,column
1106678,2015,news,news
1106673,2015,news,news
1106669,2015,news,news
1106668,2015,news,news
1106543,2015,news,news
1106716,2015,opinions,op-ed
